sound,image_name,time_in_wav_start_sec,time_in_wav_stop_sec
mooring,20181204T100004-File-8.png,482.35121535583943,484.7948258710739
helicopter,20181204T100004-File-8.png,531.8771455583254,539.7721992516099
mooring,20181204T113004-File-16.png,963.7087803302403,965.8420783223357
mooring,20181204T113004-File-16.png,988.95928281611,991.0925808082054
mooring,20181204T113004-File-16.png,1003.0002886678035,1005.9093196775934
mooring,20181204T113004-File-26.png,1593.5749844130116,1595.2816228066881
mooring,20181204T143004-File-10.png,614.452856469861,616.5473613723847
mooring,20181204T143004-File-10.png,621.7060696429855,623.25756787181
mooring,20181204T143004-File-10.png,640.4403310772889,642.5348359798126
mooring,20181205T070004-File-20.png,1220.930336625291,1223.6066412910855
mooring,20181205T070004-File-20.png,1226.2053919711718,1228.493830128119
mooring,20181205T070004-File-20.png,1240.0136714788698,1242.92270248866
mooring,20181205T070004-File-20.png,1252.7746663418707,1254.9855505131097
mooring,20181205T070004-File-28.png,1716.7167417667972,1718.7336926836126
mooring,20181205T070004-File-28.png,1720.7894044965644,1722.7287692342363
mooring,20181205T070004-File-28.png,1736.0328029643715,1737.4291610283442
mooring,20181205T083004-File-0.png,35.70828240510717,37.72520112848722
mooring,20181205T190004-File-25.png,1538.4621732500455,1541.293650274127
mooring,20181205T233004-File-11.png,687.2914375120055,689.1920091601055
mooring,20181205T233004-File-11.png,693.5361913234399,696.0961489139545
flow noise,20181205T233004-File-11.png,660.1377235163387,665.5032746089303
flow noise,20181206T083004-File-4.png,240.29099646194146,242.54514861026306
flow noise,20181206T083004-File-4.png,245.06634530464112,249.41249126753067
mooring,20181206T100004-File-3.png,206.78719173444279,209.11445517439722
mooring,20181207T070004-File-20.png,1252.929838700158,1254.3261645706953
flow noise,20181207T070004-File-20.png,1222.979706331483,1228.881857604143
mooring,20181207T220004-File-16.png,994.9325171939772,997.2597806339317
mooring,20181207T220004-File-16.png,1011.6110668153287,1014.0158842409915
mooring,20181207T220004-File-24.png,1485.249933735179,1487.61595807127
mooring,20181207T220004-File-24.png,1488.5856565368233,1490.9516808729143
mooring,20181208T010004-File-0.png,24.343613412643656,27.213851332861882
mooring,20181208T220004-File-14.png,862.0163821661246,864.5763397566391
mooring,20181208T220004-File-14.png,876.173735093098,878.656106504469
mooring,20181208T220004-File-14.png,875.9022156595308,878.3070330851934
mooring,20181208T220004-File-14.png,876.0185627348109,878.3845870709017
mooring,20181208T220004-File-14.png,891.7274138906089,893.7055717178524
mooring,20181208T220004-File-14.png,883.2155983632857,886.4349418962148
